A,B,C,D
1,1,-30.66,-8.65
2,33,-28.81,343.24
3,35,-26.66,365.21
4,27,-24.67,277.22
5,3,-23.01,13.33
6,34,-20.97,354.19
7,17,-18.66,167.28
8,6,-16.71,46.24
9,8,-14.91,68.17
10,34,-12.79,354.26
11,19,-10.71,189.16
12,15,-8.98,145.35
13,14,-6.97,134.27
14,32,-5,331.98
15,9,-2.67,79.18
16,24,-0.91,244.25
17,13,1.2,123.2
18,39,3.1,409.03
19,38,5.09,398.24
20,18,7.01,178.19
21,21,9.02,211.11
22,7,11.08,57.1
23,23,13.21,233.2
24,29,15.05,299.34
25,6,17.03,46.1
26,15,19.29,145.15
27,20,20.99,200.2
28,27,23,277.13
29,23,25.18,233.06
30,32,27.14,332.19
31,6,29.16,46.22
32,1,31.15,-8.94
33,10,33.23,90.02
34,21,35.2,211.34
35,1,37.04,-8.64
36,39,39.23,409.34
37,30,41.35,310
38,26,43.1,266.24
39,28,45.17,288.22
40,25,47,255.33
41,29,49.11,299.01
42,10,51.02,90.08
43,24,53.37,244.31
44,6,55.01,46.18
45,23,57.26,233.3
46,20,59.18,200.05
47,21,61.25,211.34
48,7,63.13,57.27
49,39,65.12,409.23
50,24,67.36,244.29
51,35,69,365.21
52,36,71.14,376.24
53,29,73.17,299.03
54,30,75.05,310.27
55,24,77.05,244.21
56,11,79,101.03
57,19,81.31,189.25
58,15,83.29,145.12
59,21,85.13,211.04
60,2,87.16,2.19
61,13,89.27,123.14
62,39,91.25,409.12
63,22,93.33,222.32
64,14,95.14,134.23
65,18,97.1,178.23
66,10,99.04,90.26
67,34,101.31,354.05
68,28,103.32,288.13
69,0,105.11,-19.76
70,6,107.04,46.02
71,32,109.33,332.13
72,23,111.16,233.23
73,8,113.31,68.21
74,24,115.03,244.34
75,20,116.98,200.14
76,26,119.17,266.06
77,30,121.04,310.33
78,3,123.2,13.15
79,0,125.16,-19.64
80,8,127.13,68.34
81,37,129.3,387.04
82,6,131.25,46.33
83,14,132.98,134.07
84,26,135.33,266.08
85,16,137.08,156.02
86,12,139.25,112.36
87,5,141.35,35.32
88,0,143.2,-19.79
89,19,145.02,189.08
90,10,146.99,90.25
91,18,148.99,178.07
92,26,151.13,266.03
93,35,153.35,365.33
94,3,155.24,13.12
95,26,157.21,266.32
96,1,159.13,-8.99
97,4,161.25,24.02
98,31,163.36,321.08
99,29,165.29,299.07
100,25,167.12,255.08
